Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_piccoli_2018_ICAlighieri1, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri1, 0, Add blockname MoveSteering, MoveSteering, OnUnlimited, Speed = 100, Steering = 0, MotorPorts = 123,nan
ExA_piccoli_2018_ICAlighieri1, 5, Change type OnForSeconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 6, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 7, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 24, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 8, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 9, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 10, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.5, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 11, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 13, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.73, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 14, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.71, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 24, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 5.4, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 27, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.7, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 46, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.73, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 48, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.74, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 49, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.77, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 54, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.773, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 60, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.775, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 62, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.77, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 64, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.774, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri1, 71, END CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri5, 0, START CASE_ID,,,,,,
